date,corridor
2025-09-03,RUB->UZS
2025-09-06,RUB->UZS
2025-09-09,RUB->UZS
2025-10-17,RUB->UZS
2025-11-26,RUB->UZS
2025-12-10,RUB->UZS
2025-12-13,RUB->UZS
2025-12-16,RUB->UZS
2025-12-30,RUB->UZS
2026-01-27,RUB->UZS
2026-02-03,RUB->UZS
2026-02-06,RUB->UZS
2026-02-19,RUB->UZS
2026-02-26,RUB->UZS
2026-03-05,RUB->UZS
2026-03-17,RUB->UZS
2026-03-26,RUB->UZS
2026-04-24,RUB->UZS
2026-05-13,RUB->UZS
2026-05-21,RUB->UZS
2026-05-26,RUB->UZS
2026-06-02,RUB->UZS
2026-06-16,RUB->UZS
2026-06-23,RUB->UZS
2026-06-26,RUB->UZS
2026-07-15,RUB->UZS
2026-07-18,RUB->UZS
2026-07-29,RUB->UZS
2026-08-04,RUB->UZS
2026-08-14,RUB->UZS
